Synonym1	ID1	Type1	Synonym2	ID2	Type2	Source
Not needed	79045	gene product	Not needed	80775	gene product	database
Not needed	79045	gene product	Not needed	78179	gene product	database
Not needed	79046	gene product	Not needed	79091	gene product	database
Not needed	79046	gene product	Not needed	83648	gene product	database
Not needed	79059	gene product	Not needed	80305	gene product	database
Not needed	79060	gene product	Not needed	78603	gene product	database
Not needed	78288	gene product	Not needed	82034	gene product	database
Not needed	79064	gene product	Not needed	79110	gene product	database
Not needed	79064	gene product	Not needed	78989	gene product	database
Not needed	78028	gene product	Not needed	82414	gene product	database
Not needed	79076	gene product	Not needed	79146	gene product	database
Not needed	79077	gene product	Not needed	80626	gene product	database
Not needed	79081	gene product	Not needed	79278	gene product	database
Not needed	79084	gene product	Not needed	78571	gene product	database
Not needed	79084	gene product	Not needed	79091	gene product	database
Not needed	79087	gene product	Not needed	78067	gene product	database
Not needed	30925	metabolite	Not needed	82546	gene product	database
Not needed	30925	metabolite	Not needed	78106	gene product	database
Not needed	30925	metabolite	Not needed	81872	gene product	database
Not needed	79108	gene product	Not needed	79603	gene product	database
Not needed	79110	gene product	Not needed	79496	gene product	database
Not needed	79110	gene product	Not needed	80587	gene product	database
Not needed	79113	gene product	Not needed	80381	gene product	database
Not needed	79114	gene product	Not needed	80092	gene product	database
Not needed	79115	gene product	Not needed	79142	gene product	database
Not needed	79116	gene product	Not needed	79859	gene product	database
Not needed	79116	gene product	Not needed	79119	gene product	database
Not needed	79119	gene product	Not needed	80365	gene product	database
Not needed	78028	gene product	Not needed	79654	gene product	database
Not needed	79123	gene product	Not needed	79206	gene product	database
Not needed	79140	gene product	Not needed	78201	gene product	database
Not needed	79142	gene product	Not needed	79705	gene product	database
Not needed	79146	gene product	Not needed	79310	gene product	database
Not needed	79149	gene product	Not needed	79433	gene product	database
Not needed	78063	gene product	Not needed	83597	gene product	database
Not needed	78063	gene product	Not needed	79926	gene product	database
Not needed	78063	gene product	Not needed	80092	gene product	database
Not needed	78063	gene product	Not needed	42338	metabolite	database
Not needed	78063	gene product	Not needed	79572	gene product	database
Not needed	79005	gene product	Not needed	78516	gene product	database
Not needed	79166	gene product	Not needed	80756	gene product	database
Not needed	79177	gene product	Not needed	80088	gene product	database
Not needed	79177	gene product	Not needed	78996	gene product	database
Not needed	73656	metabolite	Not needed	79793	gene product	database
Not needed	79189	gene product	Not needed	80020	gene product	database
Not needed	79197	gene product	Not needed	81134	gene product	database
Not needed	79205	gene product	Not needed	80756	gene product	database
Not needed	79205	gene product	Not needed	82292	gene product	database
Not needed	79210	gene product	Not needed	79562	gene product	database
Not needed	79213	gene product	Not needed	79611	gene product	database
Not needed	79242	gene product	Not needed	81923	gene product	database
Not needed	79268	gene product	Not needed	78028	gene product	database
Not needed	79268	gene product	Not needed	84360	gene product	database
Not needed	79253	gene product	Not needed	80582	gene product	database
Not needed	79253	gene product	Not needed	80378	gene product	database
Not needed	79253	gene product	Not needed	84536	gene product	database
Not needed	79253	gene product	Not needed	85057	gene product	database
Not needed	79253	gene product	Not needed	79878	gene product	database
Not needed	79253	gene product	Not needed	81744	gene product	database
Not needed	79327	gene product	Not needed	79781	gene product	database
Not needed	79327	gene product	Not needed	79787	gene product	database
Not needed	49673	metabolite	Not needed	79390	gene product	database
Not needed	79357	gene product	Not needed	80291	gene product	database
Not needed	79386	gene product	Not needed	78106	gene product	database
Not needed	79390	gene product	Not needed	81770	gene product	database
Not needed	79414	gene product	Not needed	81921	gene product	database
Not needed	79423	gene product	Not needed	78226	gene product	database
Not needed	79423	gene product	Not needed	84581	gene product	database
Not needed	79432	gene product	Not needed	78061	gene product	database
Not needed	79433	gene product	Not needed	80947	gene product	database
Not needed	79434	gene product	Not needed	81227	gene product	database
Not needed	79436	gene product	Not needed	78039	gene product	database
Not needed	79453	gene product	Not needed	82477	gene product	database
Not needed	79456	gene product	Not needed	81588	gene product	database
Not needed	79497	gene product	Not needed	81123	gene product	database
Not needed	79507	gene product	Not needed	83353	gene product	database
Not needed	79512	gene product	Not needed	81983	gene product	database
Not needed	79601	gene product	Not needed	82292	gene product	database
Not needed	79601	gene product	Not needed	78106	gene product	database
Not needed	79607	gene product	Not needed	80197	gene product	database
Not needed	79611	gene product	Not needed	82071	gene product	database
Not needed	79624	gene product	Not needed	80105	gene product	database
Not needed	79626	gene product	Not needed	80368	gene product	database
Not needed	79658	gene product	Not needed	80624	gene product	database
Not needed	79661	gene product	Not needed	81272	gene product	database
Not needed	79661	gene product	Not needed	82118	gene product	database
Not needed	79661	gene product	Not needed	83503	gene product	database
Not needed	79661	gene product	Not needed	81434	gene product	database
Not needed	79661	gene product	Not needed	82002	gene product	database
Not needed	79661	gene product	Not needed	82699	gene product	database
Not needed	79661	gene product	Not needed	81374	gene product	database
Not needed	79661	gene product	Not needed	81144	gene product	database
Not needed	79661	gene product	Not needed	82455	gene product	database
Not needed	79665	gene product	Not needed	80331	gene product	database
Not needed	79684	gene product	Not needed	79302	gene product	database
Not needed	79687	gene product	Not needed	30925	metabolite	database
Not needed	79723	gene product	Not needed	82673	gene product	database
Not needed	79731	gene product	Not needed	78739	gene product	database
Not needed	78021	gene product	Not needed	79593	gene product	database
Not needed	79755	gene product	Not needed	80615	gene product	database
Not needed	79758	gene product	Not needed	80761	gene product	database
Not needed	79769	gene product	Not needed	80183	gene product	database
Not needed	79791	gene product	Not needed	80507	gene product	database
Not needed	79807	gene product	Not needed	79951	gene product	database
Not needed	79818	gene product	Not needed	81666	gene product	database
Not needed	79838	gene product	Not needed	80956	gene product	database
Not needed	79890	gene product	Not needed	79314	gene product	database
Not needed	79890	gene product	Not needed	78106	gene product	database
Not needed	79907	gene product	Not needed	81102	gene product	database
Not needed	621	lipid	Not needed	79901	gene product	database
Not needed	79304	gene product	Not needed	83621	gene product	database
Not needed	80023	gene product	Not needed	82409	gene product	database
Not needed	80038	gene product	Not needed	80126	gene product	database
Not needed	80088	gene product	Not needed	79593	gene product	database
Not needed	80088	gene product	Not needed	80330	gene product	database
Not needed	80089	gene product	Not needed	80156	gene product	database
Not needed	80092	gene product	Not needed	80131	gene product	database
Not needed	80102	gene product	Not needed	80949	gene product	database
Not needed	80105	gene product	Not needed	83781	gene product	database
Not needed	80118	gene product	Not needed	81834	gene product	database
Not needed	80126	gene product	Not needed	30925	metabolite	database
